"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useCreatePaymentIntent.js", "JavaScript", 16, 0, 0, 3, 19
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useFetchAllOrders.js", "JavaScript", 22, 0, 1, 2, 25
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useFetchAllProducts.js", "JavaScript", 11, 0, 0, 2, 13
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useFetchOrdersByUserId.js", "JavaScript", 15, 0, 0, 2, 17
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/CustomHooks/useFetchRawOrders.js", "JavaScript", 11, 0, 0, 3, 14
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/_consts/colors/colors.js", "JavaScript", 7, 0, 0, 1, 8
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/_consts/server/server.js", "JavaScript", 6, 0, 0, 1, 7
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/AdminBar/AdminBar.js", "JavaScript", 73, 0, 0, 5, 78
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/AdminBar/admin-bar.style.js", "JavaScript", 7, 0, 0, 2, 9
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/AdminTopBar/AdminTopBar.js", "JavaScript", 43, 0, 0, 4, 47
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/App/App.js", "JavaScript", 85, 0, 0, 3, 88
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/App/app.style.js", "JavaScript", 2, 0, 0, 2, 4
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Badge/Badge.js", "JavaScript", 6, 0, 0, 3, 9
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Badge/badge.style.js", "JavaScript", 13, 0, 0, 2, 15
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/CartControlButtons/CartControlButtons.js", "JavaScript", 56, 0, 6, 9, 71
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/CartControlButtons/cart-control-buttons.style.js", "JavaScript", 10, 0, 0, 2, 12
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/CategoryTitle/CategoryTitle.js", "JavaScript", 6, 0, 0, 3, 9
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/CategoryTitle/category-title.style.js", "JavaScript", 13, 0, 0, 2, 15
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/CheckoutForm/CheckoutForm.js", "JavaScript", 115, 0, 2, 6, 123
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/CheckoutForm/checkout-form.style.js", "JavaScript", 106, 0, 2, 12, 120
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/CustoButton/CustomButton.js", "JavaScript", 13, 0, 0, 3, 16
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/CustoButton/custom-button.style.js", "JavaScript", 140, 0, 0, 7, 147
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Footer/Footer.js", "JavaScript", 0, 0, 0, 1, 1
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Footer/footer.style.js", "JavaScript", 0, 0, 0, 1, 1
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Header/Header.js", "JavaScript", 93, 0, 7, 11, 111
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Header/header.style.js", "JavaScript", 31, 0, 8, 6, 45
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Loader/Loader.js", "JavaScript", 15, 0, 0, 3, 18
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Loader/loader.style.js", "JavaScript", 108, 0, 4, 14, 126
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/LocalMessage/LocalMessage.js", "JavaScript", 34, 0, 0, 4, 38
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/LocalMessage/local-message.style.js", "JavaScript", 58, 0, 0, 4, 62
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Menu/Menu.js", "JavaScript", 38, 0, 6, 9, 53
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Menu/menu.style.js", "JavaScript", 53, 0, 0, 5, 58
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/OrderItem/OrderItem.js", "JavaScript", 39, 0, 0, 3, 42
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/OrderItem/order-item.style.js", "JavaScript", 21, 0, 0, 5, 26
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/ProductDetail/ProductDetail.js", "JavaScript", 67, 0, 5, 9, 81
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/ProductDetail/product-details.style.js", "JavaScript", 34, 0, 0, 2, 36
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/ProductItem/ProductItem.js", "JavaScript", 43, 0, 1, 3, 47
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/ProductItem/product-item.style.js", "JavaScript", 86, 0, 0, 7, 93
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/ProductModal/ProductModal.js", "JavaScript", 181, 0, 27, 15, 223
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/ProductModal/product-modal.style.js", "JavaScript", 47, 0, 0, 5, 52
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/ProductOverview/ProductOverview.js", "JavaScript", 36, 0, 0, 3, 39
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Suggestions/Suggestions.js", "JavaScript", 40, 0, 4, 8, 52
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/Suggestions/suggestions.style.js", "JavaScript", 37, 0, 0, 4, 41
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/TextInput/TextInput.js", "JavaScript", 23, 0, 0, 3, 26
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/TextInput/text-input.style.js", "JavaScript", 62, 0, 0, 11, 73
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/UpdateProductModal/UpdateProductModal.js", "JavaScript", 207, 0, 20, 13, 240
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/UserTopBar/UserTopBar.js", "JavaScript", 28, 0, 0, 4, 32
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/components/UserTopBar/user-top-bar.style.js", "JavaScript", 53, 0, 0, 4, 57
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/data/categories.js", "JavaScript", 30, 0, 0, 1, 31
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/data/products.js", "JavaScript", 47, 0, 0, 1, 48
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/index.css", "CSS", 0, 15, 0, 3, 18
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/index.js", "JavaScript", 18, 0, 0, 2, 20
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/AdminOrders/AdminOrders.js", "JavaScript", 127, 0, 0, 8, 135
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/AdminReports/AdminReports.js", "JavaScript", 209, 0, 0, 13, 222
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Checkout/Checkout.js", "JavaScript", 179, 0, 0, 4, 183
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Checkout/checkout.style.js", "JavaScript", 25, 0, 0, 4, 29
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Home/Home.Page.js", "JavaScript", 55, 0, 1, 3, 59
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Home/home.style.js", "JavaScript", 29, 0, 0, 2, 31
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Login/Login.js", "JavaScript", 55, 0, 0, 6, 61
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Login/login.style.js", "JavaScript", 18, 0, 0, 3, 21
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Payment/Payment.js", "JavaScript", 32, 0, 0, 5, 37
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Payment/payment.style.js", "JavaScript", 6, 0, 0, 2, 8
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Products/Products.Page.js", "JavaScript", 50, 0, 0, 3, 53
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/Register/Register.js", "JavaScript", 122, 0, 41, 11, 174
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/User/User.js", "JavaScript", 144, 0, 0, 9, 153
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/UserOrders/UserOrders.js", "JavaScript", 29, 0, 0, 3, 32
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/pages/UserOrders/user-orders.style.js", "JavaScript", 6, 0, 0, 2, 8
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/querries/auth.querries.js", "JavaScript", 173, 0, 0, 9, 182
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/querries/order.querries.js", "JavaScript", 122, 0, 0, 10, 132
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/querries/payment.querries.js", "JavaScript", 72, 0, 0, 4, 76
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/querries/product.querries.js", "JavaScript", 170, 0, 0, 9, 179
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/app/app.actions.js", "JavaScript", 17, 0, 0, 6, 23
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/app/app.reducers.js", "JavaScript", 42, 0, 0, 3, 45
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/app/app.selectors.js", "JavaScript", 19, 0, 0, 7, 26
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/app/app.types.js", "JavaScript", 7, 0, 0, 1, 8
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.actions.js", "JavaScript", 16, 0, 0, 5, 21
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.reducers.js", "JavaScript", 35, 0, 0, 2, 37
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.selectors.js", "JavaScript", 10, 0, 0, 5, 15
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.types.js", "JavaScript", 6, 0, 0, 1, 7
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/cart/cart.utils.js", "JavaScript", 46, 0, 1, 7, 54
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/order/order.actions.js", "JavaScript", 13, 0, 0, 4, 17
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/order/order.reducers.js", "JavaScript", 27, 0, 0, 3, 30
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/order/order.selectors.js", "JavaScript", 14, 0, 0, 5, 19
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/order/order.types.js", "JavaScript", 6, 0, 0, 1, 7
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/payment/payment.actions.js", "JavaScript", 5, 0, 0, 2, 7
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/payment/payment.reducers.js", "JavaScript", 15, 0, 0, 3, 18
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/payment/payment.selectors.js", "JavaScript", 6, 0, 0, 3, 9
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/payment/payment.types.js", "JavaScript", 3, 0, 0, 1, 4
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.actions.js", "JavaScript", 25, 0, 0, 7, 32
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.reducers.js", "JavaScript", 41, 0, 0, 2, 43
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.selectors.js", "JavaScript", 33, 0, 1, 7, 41
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.types.js", "JavaScript", 8, 0, 0, 1, 9
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/product/product.utils.js", "JavaScript", 14, 0, 0, 3, 17
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/root-reducer.js", "JavaScript", 23, 0, 0, 5, 28
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/user/user.actions.js", "JavaScript", 8, 0, 0, 3, 11
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/user/user.reducers.js", "JavaScript", 20, 0, 0, 3, 23
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/user/user.selectors.js", "JavaScript", 17, 0, 0, 4, 21
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/reducers/user/user.types.js", "JavaScript", 4, 0, 0, 1, 5
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/redux/store.js", "JavaScript", 11, 0, 0, 5, 16
"/Users/pierrefrancoispaoletti/appdevelopment/la-pouletterie/src/utils/utils.js", "JavaScript", 3, 0, 0, 1, 4
"Total", "-", 4422, 15, 137, 454, 5028